link_type,link_type_name,type_code,default_lane_capacity,default_speed_limit,default_number_of_lanes
2,Highway/Expressway,h,1450.000000,50.00,3
8,Frontage road,a,1000.000000,45.00,2
10,Zonal connector,c,2000.000000,100.00,2
11,Freeway,f,1800.000000,65.00,3
12,Freeway,f,1800.000000,65.00,3
13,Freeway,f,1800.000000,65.00,3
14,Freeway,f,1800.000000,65.00,3
15,Freeway,f,1800.000000,65.00,3
16,Freeway,f,1800.000000,65.00,3
17,Freeway,f,1800.000000,65.00,3
18,Freeway,f,1800.000000,65.00,3
21,Freeway,f,1800.000000,65.00,3
22,Freeway,f,1800.000000,65.00,3
23,Freeway,f,1800.000000,65.00,3
24,Freeway,f,1800.000000,65.00,3
25,Freeway,f,1800.000000,65.00,3
26,Freeway,f,1800.000000,65.00,3
29,Freeway,f,1800.000000,65.00,3
31,Ramp,r,1300.000000,30.00,2
32,Ramp,r,1300.000000,30.00,2
33,Ramp,r,1300.000000,30.00,2
34,Ramp,r,1300.000000,30.00,2
35,Ramp,r,1300.000000,30.00,2
36,Ramp,r,1300.000000,30.00,2
37,Ramp,r,1300.000000,30.00,2
38,Ramp,r,1300.000000,30.00,2
41,Principal마rterial,a,1000.000000,40.00,3
42,Principal마rterial,a,1000.000000,40.00,3
43,Principal마rterial,a,1000.000000,40.00,3
44,Principal마rterial,a,1000.000000,40.00,3
45,Principal마rterial,a,1000.000000,40.00,3
46,Principal마rterial,a,1000.000000,40.00,3
47,Principal마rterial,a,1000.000000,40.00,3
48,Principal마rterial,a,1000.000000,40.00,3
49,Principal마rterial,a,1000.000000,40.00,3
51,Major arterial,a,900.000000,35.00,3
52,Major arterial,a,900.000000,35.00,3
53,Major arterial,a,900.000000,35.00,3
54,Major arterial,a,900.000000,35.00,3
55,Major arterial,a,900.000000,35.00,3
56,Major arterial,a,900.000000,35.00,3
57,Major arterial,a,900.000000,35.00,3
58,Major arterial,a,900.000000,35.00,3
59,Major arterial,a,900.000000,35.00,3
61,Minor arterial,a,850.000000,30.00,2
62,Minor arterial,a,850.000000,30.00,2
63,Minor arterial,a,850.000000,30.00,2
64,Minor arterial,a,850.000000,30.00,2
65,Minor arterial,a,850.000000,30.00,2
66,Minor arterial,a,850.000000,30.00,2
67,Minor arterial,a,850.000000,30.00,2
68,Minor arterial,a,850.000000,30.00,2
69,Minor arterial,a,850.000000,30.00,2
71,Collector,a,650.000000,25.00,1
72,Collector,a,650.000000,25.00,1
73,Collector,a,650.000000,25.00,1
74,Collector,a,650.000000,25.00,1
75,Collector,a,650.000000,25.00,1
76,Collector,a,650.000000,25.00,1
77,Collector,a,650.000000,25.00,1
78,Collector,a,650.000000,25.00,1
79,Collector,a,650.000000,25.00,1
81,Local,a,600.000000,20.00,1
82,Local,a,600.000000,20.00,1
85,Local,a,600.000000,20.00,1
86,Local,a,600.000000,20.00,1
99,Local,a,600.000000,20.00,1
100,Transit link,t,1000.000000,40.00,1
200,Walking link,w,1000.000000,5.00,1
